#,Company,Symbol,Weight,Price,Chg,% Chg
1,Nvidia Corp,NVDA,6.99%,147.22,0.15,(0.10%)
2,Apple Inc.,AAPL,6.56%,223.66,-0.17,(-0.08%)
3,Microsoft Corp,MSFT,6.43%,446.71,0.51,(0.11%)
4,Amazon.com Inc,AMZN,4.26%,235.42,0.41,(0.17%)
5,"Meta Platforms, Inc. Class A",META,2.64%,636.45,12.95,(2.08%)
6,"Tesla, Inc.",TSLA,2.25%,412.38,-2.73,(-0.66%)
7,Alphabet Inc. Class A,GOOGL,2.25%,197.98,-0.39,(-0.20%)
8,Broadcom Inc.,AVGO,2.18%,240.28,-0.63,(-0.26%)
9,Alphabet Inc. Class C,GOOG,1.85%,199.58,-0.45,(-0.22%)
10,Berkshire Hathaway Class B,BRK.B,1.64%,459.83,-0.68,(-0.15%)
11,Jpmorgan Chase & Co.,JPM,1.43%,265.95,3.11,(1.18%)
12,Eli Lilly & Co.,LLY,1.15%,766.60,12.62,(1.67%)
13,Visa Inc.,V,1.08%,328.21,4.65,(1.44%)
14,Exxon Mobil Corporation,XOM,0.93%,110.15,0.62,(0.57%)
15,Unitedhealth Group Incorporated,UNH,0.93%,529.77,10.05,(1.93%)
16,Mastercard Incorporated,MA,0.84%,534.22,7.04,(1.34%)
17,Costco Wholesale Corp,COST,0.81%,942.16,-2.54,(-0.27%)
18,Netflix Inc,NFLX,0.79%,984.86,30.87,(3.24%)
19,"Home Depot, Inc.",HD,0.79%,414.39,4.29,(1.05%)
20,Walmart Inc.,WMT,0.78%,93.81,0.58,(0.62%)
21,Procter & Gamble Company,PG,0.75%,166.15,1.41,(0.86%)
22,Johnson & Johnson,JNJ,0.68%,146.64,1.37,(0.94%)
23,"Salesforce, Inc.",CRM,0.62%,334.66,2.04,(0.61%)
24,Bank of America Corporation,BAC,0.59%,46.39,0.60,(1.31%)
25,Abbvie Inc.,ABBV,0.58%,170.67,1.47,(0.87%)
26,Oracle Corp,ORCL,0.57%,186.47,2.25,(1.22%)
27,Chevron Corporation,CVX,0.51%,156.01,-0.40,(-0.26%)
28,Wells Fargo & Co.,WFC,0.50%,77.43,-0.11,(-0.14%)
